a , i , ecc , p , tResStart , tRes
0.8 , 0.3 , 0.1 , 6.057099999998702 , 3800.0 , 47029.34794450821
0.8 , 0.3 , 0.2 , 6.070099999998671 , 4100.0 , 48708.359568996115
0.8 , 0.5 , 0.1 , 6.43109999999783 , 6500.0 , 53834.304871148735
0.8 , 0.5 , 0.2 , 6.443299999997802 , 6700.0 , 55645.10579571889
0.8 , 0.7 , 0.1 , 6.972299999996569 , 11400.0 , 64593.510495008035
0.8 , 0.7 , 0.2 , 6.983799999996542 , 11500.0 , 66631.1300324588
0.8 , 0.7 , 0.3 , 7.002999999996497 , 12100.0 , 70420.7596907511
0.8 , 0.7 , 0.4 , 7.029599999996435 , 12800.0 , 76724.24912542438
0.8 , 0.9 , 0.1 , 7.654699999994978 , 19300.0 , 79732.79073158426
0.8 , 0.9 , 0.2 , 7.665799999994952 , 19700.0 , 82117.13306403322
0.8 , 0.9 , 0.3 , 7.684199999994909 , 20400.0 , 86577.53009658428
0.8 , 0.9 , 0.4 , 7.70969999999485 , 21300.0 , 94048.11953958866
0.8 , 0.9 , 0.5 , 7.742399999994774 , 23600.0 , 106404.97309828721
0.8 , 1.1 , 0.1 , 8.444999999993136 , 31500.0 , 99501.36917430507
0.8 , 1.1 , 0.2 , 8.45599999999311 , 32100.0 , 102378.71602881141
0.8 , 1.1 , 0.3 , 8.474199999993068 , 33000.0 , 107784.70014299169
0.8 , 1.1 , 0.4 , 8.49949999999301 , 34600.0 , 116873.99646433858
0.8 , 1.1 , 0.5 , 8.531799999992934 , 37800.0 , 131972.1309173491
0.8 , 1.1 , 0.6 , 8.570899999992843 , 43800.0 , 158148.74046324976
0.8 , 1.1 , 0.7 , 8.616699999992736 , 56900.0 , 208351.6504705147
0.8 , 1.3 , 0.1 , 9.30619999999113 , 49200.0 , 123850.86921504588
0.8 , 1.3 , 0.2 , 9.317499999991105 , 50200.0 , 127382.02435126327
0.8 , 1.3 , 0.3 , 9.33609999999106 , 51500.0 , 134027.4909054555
0.8 , 1.3 , 0.4 , 9.361999999991 , 54000.0 , 145221.93184964696
0.8 , 1.3 , 0.5 , 9.394999999990922 , 58600.0 , 163855.56742916265
0.8 , 1.3 , 0.6 , 9.43499999999083 , 67900.0 , 196208.85196401324
0.8 , 1.3 , 0.7 , 9.48179999999072 , 87600.0 , 258333.3691225276
0.8 , 1.3 , 0.8 , 9.534999999990596 , 134400.0 , 404635.626871379
0.85 , 0.3 , 0.1 , 5.66319999999962 , 2000.0 , 41031.821713808065
0.85 , 0.5 , 0.1 , 6.070399999998671 , 4300.0 , 47850.584475549316
0.85 , 0.5 , 0.2 , 6.081899999998644 , 4600.0 , 49477.20853085411
0.85 , 0.7 , 0.1 , 6.658999999997299 , 8900.0 , 58765.63864587154
0.85 , 0.7 , 0.2 , 6.669599999997274 , 9000.0 , 60609.924562421125
0.85 , 0.7 , 0.3 , 6.687199999997233 , 9300.0 , 64042.45017113663
0.85 , 0.9 , 0.1 , 7.398799999995575 , 16500.0 , 74311.24777899508
0.85 , 0.9 , 0.2 , 7.408899999995551 , 16600.0 , 76503.3869088183
0.85 , 0.9 , 0.3 , 7.425699999995512 , 17100.0 , 80609.97290395196
0.85 , 0.9 , 0.4 , 7.4490999999954575 , 18000.0 , 87490.91724207382
0.85 , 1.1 , 0.1 , 8.252099999993586 , 28600.0 , 94839.831729835
0.85 , 1.1 , 0.2 , 8.262199999993562 , 29100.0 , 97537.97348956375
0.85 , 1.1 , 0.3 , 8.278899999993524 , 29800.0 , 102613.35509257457
0.85 , 1.1 , 0.4 , 8.30209999999347 , 31100.0 , 111160.9649918496
0.85 , 1.1 , 0.5 , 8.3317999999934 , 34000.0 , 125381.43826905047
0.85 , 1.1 , 0.6 , 8.367799999993316 , 39600.0 , 150061.21507860243
0.85 , 1.3 , 0.1 , 9.178199999991428 , 46600.0 , 120369.30382716213
0.85 , 1.3 , 0.2 , 9.188599999991403 , 47100.0 , 123749.66312965936
0.85 , 1.3 , 0.3 , 9.205899999991365 , 48400.0 , 130117.66107758843
0.85 , 1.3 , 0.4 , 9.229999999991309 , 51000.0 , 140862.6340537382
0.85 , 1.3 , 0.5 , 9.260699999991235 , 55600.0 , 158775.4063075389
0.85 , 1.3 , 0.6 , 9.297799999991147 , 63900.0 , 189911.8369128541
0.85 , 1.3 , 0.7 , 9.341199999991048 , 81300.0 , 249747.03130503892
0.85 , 1.3 , 0.8 , 9.390699999990932 , 124800.0 , 390673.5468650336
0.9 , 0.5 , 0.1 , 5.683699999999572 , 2600.0 , 41969.76646691358
0.9 , 0.7 , 0.1 , 6.326099999998075 , 6500.0 , 52987.8479434473
0.9 , 0.7 , 0.2 , 6.335599999998053 , 6700.0 , 54640.86610914188
0.9 , 0.9 , 0.1 , 7.1293999999962026 , 13700.0 , 68895.24644412319
0.9 , 0.9 , 0.2 , 7.138499999996181 , 14100.0 , 70892.36867565796
0.9 , 0.9 , 0.3 , 7.153399999996147 , 14300.0 , 74636.55702400186
0.9 , 0.9 , 0.4 , 7.174299999996098 , 15100.0 , 80920.99396946609
0.9 , 1.1 , 0.1 , 8.050499999994056 , 26000.0 , 90143.9873642579
0.9 , 1.1 , 0.2 , 8.059499999994035 , 26100.0 , 92658.09215181586
0.9 , 1.1 , 0.3 , 8.074499999994 , 26700.0 , 97394.20848397897
0.9 , 1.1 , 0.4 , 8.095399999993951 , 28000.0 , 105387.14013993411
0.9 , 1.1 , 0.5 , 8.122099999993889 , 30400.0 , 118709.66495578391
0.9 , 1.1 , 0.6 , 8.154399999993814 , 34700.0 , 141864.8910180829
0.9 , 1.3 , 0.1 , 9.04469999999174 , 44300.0 , 116824.09518245187
0.9 , 1.3 , 0.2 , 9.054199999991717 , 44700.0 , 120046.79223762995
0.9 , 1.3 , 0.3 , 9.06999999999168 , 45800.0 , 126128.12636383499
0.9 , 1.3 , 0.4 , 9.091999999991629 , 47900.0 , 136410.3936822368
0.9 , 1.3 , 0.5 , 9.120099999991565 , 52200.0 , 153577.37337288578
0.9 , 1.3 , 0.6 , 9.153999999991484 , 59400.0 , 183461.55074923584
0.9 , 1.3 , 0.7 , 9.193799999991391 , 76000.0 , 240925.8694218668
0.9 , 1.3 , 0.8 , 9.239099999991286 , 115700.0 , 376321.6298064531
0.95 , 0.7 , 0.1 , 5.96769999999891 , 4400.0 , 47239.35128008335
0.95 , 0.9 , 0.1 , 6.843699999996868 , 11400.0 , 63468.035310226594
0.95 , 0.9 , 0.2 , 6.8513999999968505 , 11500.0 , 65265.187395745794
0.95 , 0.9 , 0.3 , 6.864199999996821 , 11800.0 , 68639.90443816365
0.95 , 1.1 , 0.1 , 7.838799999994549 , 23200.0 , 85406.03311709907
0.95 , 1.1 , 0.2 , 7.846599999994531 , 23200.0 , 87728.34592519837
0.95 , 1.1 , 0.3 , 7.8596999999945 , 23800.0 , 92115.36088283373
0.95 , 1.1 , 0.4 , 7.877899999994458 , 24700.0 , 99539.38224931984
0.95 , 1.1 , 0.5 , 7.901199999994404 , 26800.0 , 111943.9370464582
0.95 , 1.3 , 0.1 , 8.905099999992064 , 41900.0 , 113215.75679745323
0.95 , 1.3 , 0.2 , 8.913599999992044 , 42100.0 , 116274.03493518554
0.95 , 1.3 , 0.3 , 8.927799999992011 , 43200.0 , 122057.1700356677
0.95 , 1.3 , 0.4 , 8.947499999991965 , 45100.0 , 131857.08311262654
0.95 , 1.3 , 0.5 , 8.972599999991907 , 48400.0 , 148256.90763654327
0.95 , 1.3 , 0.6 , 9.003099999991836 , 55500.0 , 176843.67440550137
0.95 , 1.3 , 0.7 , 9.038799999991753 , 70600.0 , 231870.221636193
0.95 , 1.3 , 0.8 , 9.079399999991658 , 106200.0 , 361567.1055567317
0.95 , 1.5 , 0.1 , 9.998099999989517 , 68300.0 , 146558.61857870442
